Date,Open,High,Low,Close,Adj Close,Volume,Short_MA,Long_MA,Signal,Balance
2019-08-21,100.58999633789062,100.95999908447266,96.2699966430664,96.58000183105467,96.58000183105467,1783900,92.40050086975097,79.57580017089843,0,10000.0
2019-08-22,96.29000091552734,96.58000183105467,92.8000030517578,92.97000122070312,92.97000122070312,1764000,92.43500099182128,80.2752001953125,0,10000.0
2019-08-23,91.37000274658205,91.55999755859376,86.0,88.43000030517578,88.43000030517578,3041000,92.21250114440917,80.69260025024414,0,10000.0
2019-08-26,90.23999786376952,90.83999633789062,86.12999725341797,88.87999725341797,88.87999725341797,1462400,92.2950008392334,81.18700012207032,0,10000.0
2019-08-27,89.27999877929688,89.94999694824219,83.23400115966797,84.08000183105469,84.08000183105469,1821600,91.79900093078614,81.4684001159668,0,10000.0
2019-08-28,84.0,87.52400207519531,82.61399841308594,86.98999786376953,86.98999786376953,1919300,91.6950008392334,81.67820007324218,0,10000.0
2019-08-29,88.30000305175781,89.34600067138672,83.29000091552734,83.81999969482422,83.81999969482422,1787000,91.30950088500977,81.8102000427246,0,10000.0
2019-08-30,84.0199966430664,84.94000244140625,78.88999938964844,81.27999877929688,81.27999877929688,1907300,90.97300071716309,81.93880004882813,0,10000.0
2019-09-03,80.8499984741211,83.80000305175781,80.25199890136719,83.76000213623047,83.76000213623047,1827700,90.88700065612792,82.16940002441406,0,10000.0
2019-09-04,85.0,87.7699966430664,82.88999938964844,85.30999755859375,85.30999755859375,2393100,90.89050064086913,82.51619995117187,0,10000.0
2019-09-05,86.25,87.19000244140625,82.5,86.8499984741211,86.8499984741211,3918600,91.02200050354004,83.02279991149902,0,10000.0
2019-09-06,79.69999694824219,81.5,75.30500030517578,75.9800033569336,75.9800033569336,8672300,90.23850059509277,83.28939994812012,0,10000.0
2019-09-09,76.1050033569336,76.11799621582031,64.33999633789062,67.0999984741211,67.0999984741211,8598200,88.84850044250489,83.36579994201661,0,10000.0
2019-09-10,65.69999694824219,71.80000305175781,65.69999694824219,71.6500015258789,71.6500015258789,4672500,87.7805004119873,83.43299995422363,0,10000.0
2019-09-11,69.20999908447266,70.93000030517578,67.19999694824219,69.11000061035156,69.11000061035156,3114000,86.25350036621094,83.55119995117188,0,10000.0
2019-09-12,69.68000030517578,72.4000015258789,69.05999755859375,69.66000366210938,69.66000366210938,2923500,85.03550071716309,83.65400009155273,0,10000.0
2019-09-13,69.86000061035156,70.30999755859375,64.70999908447266,64.86000061035156,64.86000061035156,4166300,83.59550056457519,83.60640014648438,-1,10000.0
2019-09-16,63.709999084472656,68.86000061035156,63.5,67.86000061035156,67.86000061035156,2804500,82.18600044250488,83.61940017700195,0,9700.0
2019-09-17,68.63999938964844,71.33399963378906,68.12999725341797,71.04000091552734,71.04000091552734,2810500,80.76850051879883,83.70200012207032,0,9391.53997039795
2019-09-18,70.12000274658203,71.87899780273438,68.80000305175781,70.8499984741211,70.8499984741211,1999200,79.35300025939941,83.75000015258789,0,9409.38412562735
2019-09-19,71.5,71.87000274658203,67.63999938964844,68.93000030517578,68.93000030517578,1684000,77.97050018310547,83.64180023193359,0,9590.044128548427
2019-09-20,68.94999694824219,69.45800018310547,66.19000244140625,66.97000122070312,66.97000122070312,3357500,76.67050018310547,83.5636003112793,0,9778.0089056685
2019-09-23,67.12000274658203,68.56999969482422,66.54000091552734,66.91000366210938,66.91000366210938,825900,75.59450035095215,83.43180038452148,0,9783.87547229098
2019-09-24,67.0199966430664,67.37000274658203,62.0,62.52000045776367,62.52000045776367,2605700,74.27650051116943,83.25020042419433,0,10213.387919033747
2019-09-25,62.0,63.38999938964844,60.11000061035156,62.02000045776367,62.02000045776367,2463400,73.17350044250489,83.09980041503906,0,10264.454858628915
